Journal Data Filtered By:  Selected JCR Year: 2020 Selected Editions: SCIE Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Article Influence Score
5443,BMC Ophthalmology,BMC OPHTHALMOL,2.209,0.651
5444,JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,J WATERW PORT COAST,2.208,0.530
5445,BIOMETRICAL JOURNAL,BIOMETRICAL J,2.207,1.080
5445,JOURNAL OF GLOBAL OPTIMIZATION,J GLOBAL OPTIM,2.207,0.885
5447,AIDS RESEARCH AND HUMAN RETROVIRUSES,AIDS RES HUM RETROV,2.205,0.745
5447,Journal of Simulation,J SIMUL,2.205,0.442
5449,WETLANDS,WETLANDS,2.204,0.559
5450,INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,INT J DEV BIOL,2.203,0.601
5451,NORDIC JOURNAL OF PSYCHIATRY,NORD J PSYCHIAT,2.202,0.584
5452,AMERICAN JOURNAL OF MATHEMATICS,AM J MATH,2.200,2.935
5452,Fashion and Textiles,FASH TEXT,2.200,0.302
5452,IETE TECHNICAL REVIEW,IETE TECH REV,2.200,0.291
5452,Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology,J COMP PHYSIOL B,2.200,0.651
5456,Attention Perception & Psychophysics,ATTEN PERCEPT PSYCHO,2.199,0.871
5456,KNEE,KNEE,2.199,0.783
5456,Open Medicine,OPEN MED-WARSAW,2.199,0.330
5456,SKELETAL RADIOLOGY,SKELETAL RADIOL,2.199,0.502
5460,JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,J NEUROPSYCH CLIN N,2.198,0.768
5461,JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,J EUR MATH SOC,2.197,3.192
5461,Jornal de Pediatria,J PEDIAT-BRAZIL,2.197,0.649
5461,SOUTH AFRICAN JOURNAL OF SCIENCE,S AFR J SCI,2.197,0.456
5464,JOURNAL OF TOXICOLOGICAL SCIENCES,J TOXICOL SCI,2.196,0.409
5465,ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,2.195,0.431
5465,OCEAN DYNAMICS,OCEAN DYNAM,2.195,0.607
5467,CELL BIOCHEMISTRY AND BIOPHYSICS,CELL BIOCHEM BIOPHYS,2.194,0.392
5468,International Journal of Computational Methods,INT J COMP METH-SING,2.193,0.355
5468,JOURNAL OF HETEROCYCLIC CHEMISTRY,J HETEROCYCLIC CHEM,2.193,0.179
5468,Journal of Analytical Methods in Chemistry,J ANAL METHODS CHEM,2.193,0.389
5468,Journal of Human Kinetics,J HUM KINET,2.193,0.519
5468,Magnetochemistry,MAGNETOCHEMISTRY,2.193,0.448
5468,SWISS MEDICAL WEEKLY,SWISS MED WKLY,2.193,0.617
5474,Digital Investigation,DIGIT INVEST,2.192,0.385
5474,Integrative Biology,INTEGR BIOL-UK,2.192,0.987
5474,JOURNAL OF SURGICAL RESEARCH,J SURG RES,2.192,0.678
5477,EUROPEAN JOURNAL OF PEDIATRIC SURGERY,EUR J PEDIATR SURG,2.191,0.449
5478,CLINICAL OBSTETRICS AND GYNECOLOGY,CLIN OBSTET GYNECOL,2.190,0.768
5478,JOURNAL OF FOOD PROCESSING AND PRESERVATION,J FOOD PROCESS PRES,2.190,0.293
5480,NEW GENETICS AND SOCIETY,NEW GENET SOC,2.189,0.796
5481,AUK,AUK,2.188,0.816
5481,CURRENT MICROBIOLOGY,CURR MICROBIOL,2.188,0.412
5481,INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,INT J TECHNOL ASSESS,2.188,0.520
5484,Investigative and Clinical Urology,INVESTIG CLIN UROL,2.186,0.545
5484,PERSPECTIVES IN PSYCHIATRIC CARE,PERSPECT PSYCHIATR C,2.186,0.453
5486,CARDIOVASCULAR PATHOLOGY,CARDIOVASC PATHOL,2.185,0.604
5486,Swiss Journal of Geosciences,SWISS J GEOSCI,2.185,0.626
5488,Economics & Human Biology,ECON HUM BIOL,2.184,0.968
5488,Erdkunde,ERDKUNDE,2.184,0.544
5488,JOURNAL OF SURVEYING ENGINEERING,J SURV ENG,2.184,0.408
5488,Minerva Endocrinologica,MINERVA ENDOCRINOL,2.184,0.377
5488,TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,T ROY SOC TROP MED H,2.184,1.004
5493,EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,EUR J MECH B-FLUID,2.183,0.547
5493,Molecular Genetics & Genomic Medicine,MOL GENET GENOM MED,2.183,0.683
5493,THIN SOLID FILMS,THIN SOLID FILMS,2.183,0.350
5496,CLINICS IN SPORTS MEDICINE,CLIN SPORT MED,2.182,0.775
5496,Nanoscale and Microscale Thermophysical Engineering,NANOSC MICROSC THERM,2.182,0.975
5498,APPLIED COMPOSITE MATERIALS,APPL COMPOS MATER,2.181,0.396
5498,BIOCATALYSIS AND BIOTRANSFORMATION,BIOCATAL BIOTRANSFOR,2.181,0.275
5498,Joint Diseases and Related Surgery,JOINT DIS RELAT SURG,2.181,0.201
5501,CURRENT ORGANIC CHEMISTRY,CURR ORG CHEM,2.180,0.332
5502,Annals of Work Exposures and Health,ANN WORK EXPOS HEAL,2.179,0.589
5502,INDUSTRIAL HEALTH,IND HEALTH,2.179,0.547
5502,Journal of Biological Dynamics,J BIOL DYNAM,2.179,0.674
5502,SIAM-ASA Journal on Uncertainty Quantification,SIAM-ASA J UNCERTAIN,2.179,1.533
5506,Journal of Meteorological Research,J METEOROL RES-PRC,2.178,0.606
5506,MOLECULAR SIMULATION,MOL SIMULAT,2.178,0.408
5508,INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,INT J TECHNOL DES ED,2.177,0.442
5508,JOURNAL OF CLINICAL NEUROPHYSIOLOGY,J CLIN NEUROPHYSIOL,2.177,0.831
5510,CANCER INVESTIGATION,CANCER INVEST,2.176,0.479
5510,CRETACEOUS RESEARCH,CRETACEOUS RES,2.176,0.476
5510,Eksploatacja i Niezawodnosc-Maintenance and Reliability,EKSPLOAT NIEZAWODN,2.176,0.204
5510,GEOFLUIDS,GEOFLUIDS,2.176,0.567
5510,METHODS OF INFORMATION IN MEDICINE,METHOD INFORM MED,2.176,0.501
5510,PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE,PALAEONTOGR ABT A,2.176,0.611
5516,Advances in Botanical Research,ADV BOT RES,2.175,0.675
5516,Child and Adolescent Mental Health,CHILD ADOL MENT H-UK,2.175,0.947
5516,EUROPEAN JOURNAL OF MEDICAL RESEARCH,EUR J MED RES,2.175,0.564
5519,COMBUSTION SCIENCE AND TECHNOLOGY,COMBUST SCI TECHNOL,2.174,0.384
5520,HEAT TRANSFER ENGINEERING,HEAT TRANSFER ENG,2.172,0.381
5520,JSLS-Journal of the Society of Laparoendoscopic Surgeons,JSLS-J SOC LAPAROEND,2.172,0.603
5520,ONCOLOGY NURSING FORUM,ONCOL NURS FORUM,2.172,0.722
5523,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,J EXP MAR BIOL ECOL,2.171,0.678
5524,Aquatic Invasions,AQUAT INVASIONS,2.170,0.548
5524,Functional Materials Letters,FUNCT MATER LETT,2.170,0.227
5524,JOURNAL OF HELMINTHOLOGY,J HELMINTHOL,2.170,0.468
5524,JOURNAL OF WOOD SCIENCE,J WOOD SCI,2.170,0.434
5528,IEEE Embedded Systems Letters,IEEE EMBED SYST LETT,2.169,0.590
5528,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales Serie A-Matematicas,RACSAM REV R ACAD A,2.169,0.598
5530,JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME,J APPL MECH-T ASME,2.168,0.641
5530,Journal of Macromolecular Science Part A-Pure and Applied Chemistry,J MACROMOL SCI A,2.168,0.170
5532,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,2.167,1.055
5532,DISPLAYS,DISPLAYS,2.167,0.395
5532,Top,TOP,2.167,0.606
5535,GENOME,GENOME,2.166,0.601
5536,HELVETICA CHIMICA ACTA,HELV CHIM ACTA,2.164,0.325
5536,SUBSTANCE USE & MISUSE,SUBST USE MISUSE,2.164,0.649
5538,PRIMATES,PRIMATES,2.163,0.536
5539,JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,J OCCUP ENVIRON MED,2.162,0.662
5539,PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,PREP BIOCHEM BIOTECH,2.162,0.264
5541,ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,2.161,0.408
5541,CURRENT OPINION IN CARDIOLOGY,CURR OPIN CARDIOL,2.161,0.738
5541,Frontiers of Information Technology & Electronic Engineering,FRONT INFORM TECH EL,2.161,0.377
5541,HIGH PERFORMANCE POLYMERS,HIGH PERFORM POLYM,2.161,0.196
5541,HUMAN MOVEMENT SCIENCE,HUM MOVEMENT SCI,2.161,0.685
5541,NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH,NEW ZEAL J AGR RES,2.161,0.330
5547,FLY,FLY,2.160,0.710
5547,INTERNATIONAL REVIEW OF HYDROBIOLOGY,INT REV HYDROBIOL,2.160,0.581
5547,Journal of Biomedical Semantics,J BIOMED SEMANT,2.160,0.654
5547,Journal of Cardiovascular Medicine,J CARDIOVASC MED,2.160,0.411
5551,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,AM J PHYS MED REHAB,2.159,0.713
5551,Critical Care and Resuscitation,CRIT CARE RESUSC,2.159,1.247
5553,JOURNAL OF ATMOSPHERIC CHEMISTRY,J ATMOS CHEM,2.158,0.566
5554,CALCOLO,CALCOLO,2.157,0.742
5554,Signal Image and Video Processing,SIGNAL IMAGE VIDEO P,2.157,0.314
5556,IN VIVO,IN VIVO,2.155,0.387
5556,JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE,J OCCUP ENVIRON HYG,2.155,0.655
5558,JOURNAL OF VISION,J VISION,2.154,0.943
5559,FIBERS AND POLYMERS,FIBER POLYM,2.153,0.269
5559,JOURNAL OF KOREAN MEDICAL SCIENCE,J KOREAN MED SCI,2.153,0.637
5559,JOURNAL OF ULTRASOUND IN MEDICINE,J ULTRAS MED,2.153,0.573
5562,ADVANCES IN SPACE RESEARCH,ADV SPACE RES,2.152,0.551
5562,MEDECINE ET MALADIES INFECTIEUSES,MED MALADIES INFECT,2.152,0.512
5562,OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,2.152,1.006
5565,BMJ Sexual & Reproductive Health,BMJ SEX REPROD HEAL,2.151,1.040
5565,BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,B ENVIRON CONTAM TOX,2.151,0.321
5565,Emergency Medicine Australasia,EMERG MED AUSTRALAS,2.151,0.585
5565,Head & Face Medicine,HEAD FACE MED,2.151,0.572
5569,Surgical Infections,SURG INFECT,2.150,0.690
5570,ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,2.149,0.374
5570,International Journal of Osteopathic Medicine,INT J OSTEOPATH MED,2.149,0.229
5570,JOURNAL OF FORESTRY RESEARCH,J FORESTRY RES,2.149,0.313
5573,GEOMETRIC AND FUNCTIONAL ANALYSIS,GEOM FUNCT ANAL,2.148,3.628
5573,Revista Mexicana de Ingenieria Quimica,REV MEX ING QUIM,2.148,0.102
5575,Marine Resource Economics,MAR RESOUR ECON,2.147,0.697
5576,Clinical Mass Spectrometry,CLIN MASS SPECTROM,2.146,0.579
5576,IRISH VETERINARY JOURNAL,IRISH VET J,2.146,0.436
5578,ANIMAL REPRODUCTION SCIENCE,ANIM REPROD SCI,2.145,0.420
5578,Chinese Physics C,CHINESE PHYS C,2.145,0.682
5578,Journal of Pediatric Nursing-Nursing Care of Children & Families,J PEDIATR NURS,2.145,0.669
5581,MATHEMATICAL BIOSCIENCES,MATH BIOSCI,2.144,0.600
5581,VOX SANGUINIS,VOX SANG,2.144,0.614
5583,MECHANICS OF TIME-DEPENDENT MATERIALS,MECH TIME-DEPEND MAT,2.143,0.461
5583,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,Q J EXP PSYCHOL,2.143,0.979
5583,STRENGTH AND CONDITIONING JOURNAL,STRENGTH COND J,2.143,0.487
5583,Swarm Intelligence,SWARM INTELL-US,2.143,0.652
5587,International Emergency Nursing,INT EMERG NURS,2.142,0.545
5587,SCIENTIFIC AMERICAN,SCI AM,2.142,0.749
5589,Cytoskeleton,CYTOSKELETON,2.141,0.879
5590,DIABETES EDUCATOR,DIABETES EDUCATOR,2.140,0.716
5590,Journal of the Society for Information Display,J SOC INF DISPLAY,2.140,0.337
5592,ENERGY EXPLORATION & EXPLOITATION,ENERG EXPLOR EXPLOIT,2.139,0.337
5592,Gaceta Sanitaria,GAC SANIT,2.139,0.513
5594,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,BIOL J LINN SOC,2.138,0.756
5594,Earthquake Engineering and Engineering Vibration,EARTHQ ENG ENG VIB,2.138,0.439
5594,NEUROREHABILITATION,NEUROREHABILITATION,2.138,0.622
5597,ACM Transactions on Interactive Intelligent Systems,ACM T INTERACT INTEL,2.137,1.349
5597,JOURNAL OF MOLECULAR RECOGNITION,J MOL RECOGNIT,2.137,0.337
5597,Journal of Sensors,J SENSORS,2.137,0.420
5597,SCIENTIA AGRICOLA,SCI AGR,2.137,0.537
5601,JOURNAL OF MEDICAL SCREENING,J MED SCREEN,2.136,0.959
5601,Journal of Stroke & Cerebrovascular Diseases,J STROKE CEREBROVASC,2.136,0.599
5603,CONDOR,CONDOR,2.135,0.714
5603,Current Medical Science,CURR MED SCI,2.135,0.413
5603,GENETIC EPIDEMIOLOGY,GENET EPIDEMIOL,2.135,1.933
5603,Hip International,HIP INT,2.135,0.599
5607,Advances in Data Analysis and Classification,ADV DATA ANAL CLASSI,2.134,0.923
5607,SOCIOLOGY OF SPORT JOURNAL,SOCIOL SPORT J,2.134,0.446
5609,FORESTRY,FORESTRY,2.133,0.724
5609,Journal of Civil Structural Health Monitoring,J CIV STRUCT HEALTH,2.133,0.505
5609,VECTOR-BORNE AND ZOONOTIC DISEASES,VECTOR-BORNE ZOONOT,2.133,0.647
5612,EXPERIMENTAL AND APPLIED ACAROLOGY,EXP APPL ACAROL,2.132,0.472
5612,Journal of Physics A-Mathematical and Theoretical,J PHYS A-MATH THEOR,2.132,0.728
5614,CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS,CIV ENG ENVIRON SYST,2.130,0.349
5614,JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,J ANIM PHYSIOL AN N,2.130,0.415
5614,Journal of Environmental Health Science and Engineering,J ENVIRON HEALTH SCI,2.130,0.473
5614,QUATERNARY INTERNATIONAL,QUATERN INT,2.130,0.760
5618,JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION,J OPT SOC AM A,2.129,0.507
5618,NONLINEARITY,NONLINEARITY,2.129,1.352
5618,PEDIATRIC INFECTIOUS DISEASE JOURNAL,PEDIATR INFECT DIS J,2.129,0.902
5621,Big Data,BIG DATA-US,2.128,1.475
5621,Quality Engineering,QUAL ENG,2.128,0.584
5623,AIAA JOURNAL,AIAA J,2.127,0.649
5624,BMC Pediatrics,BMC PEDIATR,2.125,0.788
5625,Acta Otorhinolaryngologica Italica,ACTA OTORHINOLARYNGO,2.124,0.563
5625,SCIENCE & JUSTICE,SCI JUSTICE,2.124,0.711
5627,FOLIA PARASITOLOGICA,FOLIA PARASIT,2.122,0.447
5628,JOURNAL OF APPLIED GEOPHYSICS,J APPL GEOPHYS,2.121,0.596
5629,BMC EMERGENCY MEDICINE,BMC EMERG MED,2.119,0.818
5629,Human-Wildlife Interactions,HUM-WILDL INTERACT,2.119,0.382
5629,METEOROLOGICAL APPLICATIONS,METEOROL APPL,2.119,0.628
5629,Topics in Stroke Rehabilitation,TOP STROKE REHABIL,2.119,0.671
5633,EXPERIMENTAL AGRICULTURE,EXP AGR,2.118,0.462
5633,JOURNAL OF SCHOOL HEALTH,J SCHOOL HEALTH,2.118,0.769
5635,INTERNATIONAL JOURNAL OF AUDIOLOGY,INT J AUDIOL,2.117,0.659
5635,Journal of Integrative Neuroscience,J INTEGR NEUROSCI,2.117,0.289
5635,NEUROLOGY INDIA,NEUROL INDIA,2.117,0.543
5638,IEEE TRANSACTIONS ON EDUCATION,IEEE T EDUC,2.116,0.477
5639,International Journal of Older People Nursing,INT J OLDER PEOPLE N,2.115,0.637
5639,Nondestructive Testing and Evaluation,NONDESTRUCT TEST EVA,2.115,0.411
5641,Journal of Drugs in Dermatology,J DRUGS DERMATOL,2.114,0.454
5641,Science & Education,SCI EDUC-NETHERLANDS,2.114,0.618
5643,INTERNATIONAL JOURNAL OF PHOTOENERGY,INT J PHOTOENERGY,2.113,0.321
5644,ANNALS OF MICROBIOLOGY,ANN MICROBIOL,2.112,0.352
5645,AUSTRALASIAN JOURNAL ON AGEING,AUSTRALAS J AGEING,2.111,0.546
5645,POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES,POL J FOOD NUTR SCI,2.111,0.374
5647,Journal of Fixed Point Theory and Applications,J FIX POINT THEORY A,2.110,0.735
5648,ChemistrySelect,CHEMISTRYSELECT,2.109,0.299
5648,NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,NUMER LINEAR ALGEBR,2.109,0.922
5650,HYPERTENSION IN PREGNANCY,HYPERTENS PREGNANCY,2.108,0.584
5650,JOURNAL OF SEA RESEARCH,J SEA RES,2.108,0.590
5652,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,INT J NUMER METH FL,2.107,0.744
5653,International Journal of Precision Engineering and Manufacturing,INT J PRECIS ENG MAN,2.106,0.277
5653,JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS,J OPT SOC AM B,2.106,0.530
5653,REVISTA DE SAUDE PUBLICA,REV SAUDE PUBL,2.106,0.901
5656,ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,2.105,0.745
5656,Computational Particle Mechanics,COMPUT PART MECH,2.105,0.642
5656,Journal of Ambient Intelligence and Smart Environments,J AMB INTEL SMART EN,2.105,0.265
5659,CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES,CAN J NEUROL SCI,2.104,0.794
5659,CARBOHYDRATE RESEARCH,CARBOHYD RES,2.104,0.415
5659,Environmental Research Communications,ENVIRON RES COMMUN,2.104,0.637
5659,JOURNAL OF PROFESSIONAL NURSING,J PROF NURS,2.104,0.679
5659,World Neurosurgery,WORLD NEUROSURG,2.104,0.526
5664,BMC Medical Genetics,BMC MED GENET,2.103,0.523
5664,SCANDINAVIAN JOURNAL OF FOREST RESEARCH,SCAND J FOREST RES,2.103,0.399
5664,Welding in the World,WELD WORLD,2.103,0.323
5667,BMC Surgery,BMC SURG,2.102,0.649
5667,DENTAL MATERIALS JOURNAL,DENT MATER J,2.102,0.427
5667,Gastroenterologia y Hepatologia,GASTROENT HEPAT-BARC,2.102,0.434
5667,Journal of Applied Clinical Medical Physics,J APPL CLIN MED PHYS,2.102,0.488
5671,AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY,AUST NZ J OBSTET GYN,2.100,0.680
5671,Asia-Pacific Journal of Atmospheric Sciences,ASIA-PAC J ATMOS SCI,2.100,0.600
5671,Iranian Journal of Fuzzy Systems,IRAN J FUZZY SYST,2.100,0.348
5671,POPULATION ECOLOGY,POPUL ECOL,2.100,0.713
5675,ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,ANN ENTOMOL SOC AM,2.099,0.489
5675,ECONOMETRIC THEORY,ECONOMET THEOR,2.099,2.081
5675,FOLIA MICROBIOLOGICA,FOLIA MICROBIOL,2.099,0.388
5678,INFORMATION SYSTEMS MANAGEMENT,INFORM SYST MANAGE,2.098,0.494
5678,Tumori Journal,TUMORI J,2.098,0.406
5680,CHEMICAL PAPERS,CHEM PAP,2.097,0.243
5680,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,J BIOMECH ENG-T ASME,2.097,0.627
5680,MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,MATER CORROS,2.097,0.275
5683,BRITISH POULTRY SCIENCE,BRIT POULTRY SCI,2.095,0.377
5684,Alpine Botany,ALPINE BOT,2.094,0.742
5685,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,J S AM EARTH SCI,2.093,0.561
5685,LIMNOLOGICA,LIMNOLOGICA,2.093,0.488
5685,VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE,VET CLIN N AM-SMALL,2.093,0.580
5688,FLORA,FLORA,2.092,0.442
5688,JOURNAL OF CUTANEOUS MEDICINE AND SURGERY,J CUTAN MED SURG,2.092,0.473
5688,JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION,J RECEPT SIG TRANSD,2.092,0.418
5691,CytoJournal,CYTOJOURNAL,2.091,0.372
5691,Female Pelvic Medicine and Reconstructive Surgery,FEMALE PELVIC MED RE,2.091,0.646
5691,Fossil Record,FOSS REC,2.091,0.549
5691,Neotropical Ichthyology,NEOTROP ICHTHYOL,2.091,0.454
5695,Annals of Animal Science,ANN ANIM SCI,2.090,0.323
5695,Annals of Diagnostic Pathology,ANN DIAGN PATHOL,2.090,0.546
5695,MARINE MAMMAL SCIENCE,MAR MAMMAL SCI,2.090,0.600
5695,Physiology International,PHYSIOL INT,2.090,0.304
5699,CANADIAN JOURNAL OF SURGERY,CAN J SURG,2.089,0.850
5699,Pharmacogenetics and Genomics,PHARMACOGENET GENOM,2.089,0.687
5699,UROLOGIA INTERNATIONALIS,UROL INT,2.089,0.445
5702,Advances in Applied Ceramics,ADV APPL CERAM,2.088,0.375
5702,Croatian Journal of Forest Engineering,CROAT J FOR ENG,2.088,0.365
5702,IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,2.088,0.728
5702,JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,J HIST MED ALL SCI,2.088,0.640
5702,ROBOTICA,ROBOTICA,2.088,0.347
5707,AUSTRAL ECOLOGY,AUSTRAL ECOL,2.087,0.508
5707,CORROSION ENGINEERING SCIENCE AND TECHNOLOGY,CORROS ENG SCI TECHN,2.087,0.361
5707,Journal of Geophysics and Engineering,J GEOPHYS ENG,2.087,0.477
5707,PHYTOCOENOLOGIA,PHYTOCOENOLOGIA,2.087,0.411
5711,BIOLOGICAL CYBERNETICS,BIOL CYBERN,2.086,0.512
5711,BREEDING SCIENCE,BREEDING SCI,2.086,0.544
5711,COMPTES RENDUS MECANIQUE,CR MECANIQUE,2.086,0.496
5711,PHYSICAL GEOGRAPHY,PHYS GEOGR,2.086,0.368
5711,REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,REV ESP ENFERM DIG,2.086,0.481
5716,ACM Transactions on Reconfigurable Technology and Systems,ACM T RECONFIG TECHN,2.085,0.469
5716,APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,APPL IMMUNOHISTO M M,2.085,0.627
5716,Asian Nursing Research,ASIAN NURS RES,2.085,0.684
5716,Central European Journal of Immunology,CENT EUR J IMMUNOL,2.085,0.449
5716,Genes and Environment,GENES ENVIRON,2.085,0.597
5716,International Journal on Document Analysis and Recognition,INT J DOC ANAL RECOG,2.085,0.385
5716,JOURNAL OF ELASTICITY,J ELASTICITY,2.085,0.708
5716,Journal of Computational and Nonlinear Dynamics,J COMPUT NONLIN DYN,2.085,0.430
5716,Journal of Mechanisms and Robotics-Transactions of the ASME,J MECH ROBOT,2.085,0.512
5716,Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,WATER ALTERN,2.085,0.774
5726,OPTICAL AND QUANTUM ELECTRONICS,OPT QUANT ELECTRON,2.084,0.264
5727,Annals of Applied Statistics,ANN APPL STAT,2.083,2.187
5727,International Journal for Uncertainty Quantification,INT J UNCERTAIN QUAN,2.083,0.653
5727,Journal of Cardiovascular Nursing,J CARDIOVASC NURS,2.083,0.646
5727,Pediatrics and Neonatology,PEDIATR NEONATOL,2.083,0.538
5727,Social Neuroscience,SOC NEUROSCI-UK,2.083,0.974
5732,AQUACULTURE RESEARCH,AQUAC RES,2.082,0.356
5732,EARLY HUMAN DEVELOPMENT,EARLY HUM DEV,2.082,0.780
5732,Life Sciences in Space Research,LIFE SCI SPACE RES,2.082,0.596
5732,Nurse Educator,NURS EDUC,2.082,0.497
5736,ANALYTICAL SCIENCES,ANAL SCI,2.081,0.235
5736,CURRENT ISSUES IN MOLECULAR BIOLOGY,CURR ISSUES MOL BIOL,2.081,0.601
5736,Green Materials,GREEN MATER,2.081,0.323
5736,International Journal of Civil Engineering,INT J CIV ENG,2.081,0.343
5736,Journal of Cardiopulmonary Rehabilitation and Prevention,J CARDIOPULM REHABIL,2.081,0.615
5736,Reaction Kinetics Mechanisms and Catalysis,REACT KINET MECH CAT,2.081,0.236
5736,Urban Water Journal,URBAN WATER J,2.081,0.510
5743,COMPUTING IN SCIENCE & ENGINEERING,COMPUT SCI ENG,2.080,0.851
5743,European Annals of Otorhinolaryngology-Head and Neck Diseases,EUR ANN OTORHINOLARY,2.080,0.517
5743,INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,INT J GEN SYST,2.080,0.430
5743,Journal of Dental Sciences,J DENT SCI,2.080,0.303
5743,Mathematical Biosciences and Engineering,MATH BIOSCI ENG,2.080,0.415
5743,Navigation-Journal of the Institute of Navigation,NAVIGATION-US,2.080,0.562
5743,SIAM JOURNAL ON APPLIED MATHEMATICS,SIAM J APPL MATH,2.080,0.949
5750,ANGLE ORTHODONTIST,ANGLE ORTHOD,2.079,0.683
5751,COMPUTER GRAPHICS FORUM,COMPUT GRAPH FORUM,2.078,1.192
5751,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,J CRANIO MAXILL SURG,2.078,0.666
5751,Journal of Anesthesia,J ANESTH,2.078,0.470
5754,JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY,J ADHES SCI TECHNOL,2.077,0.268
5754,JOURNAL OF FOOD PROTECTION,J FOOD PROTECT,2.077,0.447
5754,Journal of Petroleum Exploration and Production Technology,J PET EXPLOR PROD TE,2.077,0.312
5757,Arab Journal of Gastroenterology,ARAB J GASTROENTEROL,2.076,0.263
5757,GEOSCIENCES JOURNAL,GEOSCI J,2.076,0.458
5759,Boundary Value Problems,BOUND VALUE PROBL,2.075,0.401
5759,Clinical Nursing Research,CLIN NURS RES,2.075,0.493
5759,JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY,J ATMOS OCEAN TECH,2.075,0.850
5762,CYTOPATHOLOGY,CYTOPATHOLOGY,2.073,0.451
5762,Chiropractic & Manual Therapies,CHIROPR MAN THER,2.073,0.389
5764,Journal of Wound Care,J WOUND CARE,2.072,0.497
5765,Journal of Mountain Science,J MT SCI-ENGL,2.071,0.393
5765,Orthopaedic Surgery,ORTHOP SURG,2.071,0.533
5767,APPLIED PHYSICS B-LASERS AND OPTICS,APPL PHYS B-LASERS O,2.070,0.445
5767,American Health and Drug Benefits,AM HEALTH DRUG BENEF,2.070,1.013
5767,ECS Journal of Solid State Science and Technology,ECS J SOLID STATE SC,2.070,0.358
5767,Engineering Management Journal,ENG MANAG J,2.070,0.258
5767,HONG KONG MEDICAL JOURNAL,HONG KONG MED J,2.070,0.548
5767,MARINE AND FRESHWATER RESEARCH,MAR FRESHWATER RES,2.070,0.518
